id,instrument,article,in_force_from,supersedes,binds,subject,value,unit,what_it_actually_says,what_it_does_not_establish,source_url,verified_at
conveyor-right-to-information,Luật 75/2025/QH15,Điều 15a.1.a,2026-01-01,-,advertiser,creator_right_against_the_brand,truthful complete accurate information and eligibility documents,rule,The paired right to the duties: a conveyor is entitled to be given truthful complete and accurate information about the product and the documents evidencing that it may lawfully be advertised. This is a claim against the brand and the basis for asking for the file rather than the brief.,Does not name a deadline or a format for handing the documents over.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
influencer-must-verify-advertiser,Luật 75/2025/QH15,Điều 15a.3.a,2026-01-01,-,influencer,duty_to_verify,verify the advertiser and check the product documents,rule,"An influencer must check that the advertiser is reliable and must examine the product documents before promoting. This is the duty the consumer-protection due-diligence defence is measured against, which is the reason to keep the file rather than just read it.",Does not say what documents suffice or what record of the check has to be kept.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
influencer-must-have-used-it,Luật 75/2025/QH15,Điều 15a.3.a,2026-01-01,-,influencer,ban_on_promoting_the_unfamiliar,not used or not clearly understood means may not introduce,rule,"Where the influencer has not used the product OR does not clearly understand it, they may not introduce it. The two conditions are disjunctive so either one alone bars promotion, and the ban is on introducing the product at all rather than on claiming a result from it. This is stricter than any disclosure rule and it is the clause a commission-driven posting habit breaks first.",Does not require documentary proof of use and does not say who bears the burden of showing understanding.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
influencer-disclosure-timing,Luật 75/2025/QH15,Điều 15a.3.b,2026-01-01,-,influencer,when_to_disclose,immediately before and during,rule,"The duty is to notify that this is advertising immediately before AND during the advertising activity. During is what makes a caption-only disclosure insufficient on a video or a livestream - something has to carry it while the promotion is running, not only ahead of it.",Does not prescribe any wording size position or duration - the article fixes timing only.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
consumer-law-disclosure,Luật 19/2023/QH15,Điều 22.3.b,2024-07-01,-,influencer,when_to_disclose_consumer_law,beforehand,rule,Consumer-protection law requires an influencer to disclose sponsorship beforehand. It is the weaker of the two timing rules and it does not displace the advertising law's during limb - both apply.,"Does not prescribe wording, and does not say whether a platform's own paid-partnership tag discharges the duty or merely evidences it.",https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-28075.htm,2026-07-31
disclosure-marker-required,Luật 75/2025/QH15,Điều 23.2.a,2026-01-01,-,any conveyor,disclosure_must_be_identifiable,a clear identifying marker,rule,"Network advertising must carry a clear identifying marker - expressly by numerals writing symbols images or sound - that distinguishes advertising from non-advertising content. The permitted media are broad, so an on-screen label a spoken line or a platform tag can each satisfy it.",Does not name a phrase. Sweeps of the law and both decrees found no prescribed word font size position or duration for a sponsorship marker anywhere.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
disclosure-binds-the-creator,Luật 75/2025/QH15,Điều 23.2.đ,2026-01-01,-,any conveyor,marker_duty_is_personal,social media user must mark ad content,rule,This limb binds the individual account holder rather than the platform: a social-media user who advertises must mark advertising or sponsored content so it is distinguishable from their other posts. It reaches an ordinary affiliate with no influencer status and no contract.,Does not set a penalty of its own - the enforcement route is the actor-neutral marker fine in the sanctions decree.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
no-prescribed-wording,Nghị định 342/2025/NĐ-CP,Điều 1 scope,2026-02-15,-,everyone,is_any_disclosure_phrase_mandatory,no,finding,"Established by search rather than assumed: the detail decree does not implement Điều 15a and returns nothing for người có ảnh hưởng, for 15a, or for dấu hiệu nhận diện. The law fixes timing and requires a marker of unspecified wording, and no instrument reachable prescribes the words. The same decree DOES prescribe verbatim phrases for food, so the drafters knew how to mandate wording and did not do it here.","Cannot exclude a ministry circular prescribing a form, which was not searched. Treat a specific Vietnamese disclosure phrase as good practice and never tell a client it is legally required.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
no-follower-threshold,Nghị định 55/2024/NĐ-CP,Điều 2.1.c,2024-07-01,-,influencer,is_there_a_follower_number,no,finding,There is no numeric follower threshold for influencer status in Vietnamese law. The practical trigger is limb c's second alternative - an account eligible for a platform advertising or commerce programme - so the threshold is set by platform eligibility rules and moves when a platform changes them.,"Cannot say at what following đáng kể begins, because no instrument or guidance reachable defines it.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-55-2024-nd-cp-30735.htm,2026-07-31
fine-no-verification,Nghị định 87/2026/NĐ-CP,Điều 51.1.a,2026-05-15,-,influencer,penalty_for_not_verifying_advertiser,40000000 to 60000000,VND,"Failing to verify the reliability of the person doing the advertising. Điều 51.1.a puts the duty on the counterparty and not on the product, so it is unmet even where the product turns out to be sound.",Individual baseline. Doubles for an organisation under Điều 6.3 - Điều 51 is not in the Điều 6.2 exception list.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-no-document-check,Nghị định 87/2026/NĐ-CP,Điều 51.1.b,2026-05-15,-,influencer,penalty_for_not_checking_documents,40000000 to 60000000,VND,"Failing to examine the documents relating to the advertised product, goods or service. The article says documents, so a brand's assurance is not one, and a creator who holds no file for a claim has already breached this before publishing anything.",Individual baseline. Doubles for an organisation.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-partial-disclosure,Nghị định 87/2026/NĐ-CP,Điều 51.1.c,2026-05-15,-,influencer,penalty_for_incomplete_disclosure,40000000 to 60000000,VND,"Disclosing incompletely - which on these facts means disclosing before but not during, the ordinary result of putting the disclosure in the caption of a video and nowhere in it.",Individual baseline. Doubles for an organisation.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-no-disclosure,Nghị định 87/2026/NĐ-CP,Điều 51.2,2026-05-15,-,influencer,penalty_for_no_disclosure,60000000 to 80000000,VND,"No disclosure before and during the advertising activity at all. A full band above the partial-disclosure fine in Điều 51.1.c, so the decree treats saying nothing as worse than saying it once and stopping.",Individual baseline. Doubles for an organisation.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-unused-product,Nghị định 87/2026/NĐ-CP,Điều 51.3,2026-05-15,-,influencer,penalty_for_promoting_the_unfamiliar,80000000 to 100000000,VND,"Promoting a product the influencer has not used or does not clearly understand. The heaviest influencer fine in the decree and at the individual ceiling, which puts a not-used product above a not-disclosed one in the eyes of the drafters.",Individual baseline and already at the Điều 6.1 individual maximum of 100 million.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
remedy-disgorgement,Nghị định 87/2026/NĐ-CP,Điều 51.4.b,2026-05-15,-,advertiser,remedy_reaching_the_brand,forced surrender of sale proceeds,rule,"Where a contract with the influencer existed, the remedy reaches the proceeds of the sales. It is not capped by the fine and it lands on the brand's revenue. Điều 51.4.b lists only điểm a and điểm b of khoản 1 and khoản 3, so disgorgement does not attach to a disclosure failure - it attaches to not verifying, not checking documents, and promoting an unused product.",Does not say how proceeds are traced to the promotion.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
remedy-public-apology,Nghị định 87/2026/NĐ-CP,Điều 51.4.c,2026-05-15,-,influencer,remedy_apology,public written apology,rule,A forced public written apology sits alongside the fine. For a creator whose asset is the audience relationship this is the heavier half of the sanction.,Does not specify the channel or the duration of the posting.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-missing-marker,Nghị định 87/2026/NĐ-CP,Điều 56.2.a,2026-05-15,-,any conveyor,penalty_for_no_ad_marker,30000000 to 40000000,VND,Advertising on a network without the marker distinguishing it from other content. The provision is actor-neutral - it attaches to the activity and not to a role - so it reaches an affiliate who is not an influencer and has no sponsorship arrangement.,Individual baseline. Doubles for an organisation - Điều 56 is not in the Điều 6.2 exception list either.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-takedown-24h,Nghị định 87/2026/NĐ-CP,Điều 56.4,2026-05-15,-,any conveyor,penalty_for_slow_takedown,50000000 to 60000000,VND,Failing to block or remove infringing advertising within 24 hours of an official request. The underlying duty is in Law Điều 23.7 and the detail decree names conveyors among those it binds.,Does not run from a complaint by a member of the public - the clock starts on the request from the authority.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-superlatives,Nghị định 87/2026/NĐ-CP,Điều 50.2.a,2026-05-15,-,any conveyor,penalty_for_unsupported_superlatives,10000000 to 20000000,VND,"Using nhất, duy nhất, tốt nhất, số một or equivalent without lawful supporting documents. Low in money and high in frequency - it is the single most common line in Vietnamese ad copy that has no file behind it.",Does not define what document suffices for a superlative.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-misleading-quality,Nghị định 87/2026/NĐ-CP,Điều 50.5.c,2026-05-15,-,any conveyor,penalty_for_misleading_on_quality,80000000 to 100000000,VND,Advertising that misleads on quality or efficacy. An order of magnitude above the superlative fine for what is often the same sentence with a result attached to it.,Does not require proof that any consumer was actually misled.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
limitation-period,Nghị định 87/2026/NĐ-CP,Điều 4.1,2026-05-15,-,everyone,how_long_exposure_lasts,1,year,The limitation period for an administrative advertising penalty is one year. A post older than that is outside the window while a post still live is arguably continuing.,Does not settle when the period starts running for content that remains published.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
organisations-pay-double,Nghị định 87/2026/NĐ-CP,Điều 6.1 and 6.3,2026-05-15,-,everyone,individual_versus_organisation,100000000 individual and 200000000 organisation,VND,"Every figure in Điều 51 and Điều 56 is an individual baseline and doubles for an organisation, because neither article appears in the Điều 6.2 list of provisions written at the organisation level. An agency carrying the same conduct as its creator carries twice the fine.","Does not resolve how a household business registered under a personal name is classified, which changes the multiplier.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
liability-is-concurrent,Luật 75/2025/QH15,Điều 23.3,2026-01-01,-,everyone,who_is_liable_online,advertiser agency publisher and conveyor together,rule,"Liability online is concurrent rather than a waterfall. The creator cannot discharge it by pointing at the brief, and the brand cannot discharge it by pointing at the creator.","Does not apportion between them, so an indemnity clause settles who ultimately pays and not who the authority proceeds against.",https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
joint-liability-defence,Luật 19/2023/QH15,Điều 22.1,2024-07-01,-,influencer,the_only_due_diligence_defence,joint liability unless verification steps proved,rule,"A third party is jointly liable for inaccurate or incomplete information UNLESS it proves it took all the verification steps the law prescribes. This is the only escape hatch found in any instrument, and the steps it points at are the Điều 15a.3.a checks - which is what makes documenting them worth the time rather than merely doing them.",Does not say what evidence discharges the burden.,https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-28075.htm,2026-07-31
brand-must-disclose-too,Luật 19/2023/QH15,Điều 10.1.h,2024-07-01,-,advertiser,disclosure_is_not_only_the_creators_problem,prohibited act,rule,"A business failing to disclose that it sponsors an influencer who recommends its product is itself committing a prohibited act. Disclosure is a shared obligation, so a brand asking a creator to keep the arrangement quiet is asking for its own breach.",Does not name the penalty - that sits in the consumer-protection sanctions decree rather than the advertising one.,https://congbao.chinhphu.vn/van-ban/luat-so-19-2023-qh15-28075.htm,2026-07-31
livestream-selling-defined,Luật 122/2025/QH15,Điều 3.10,2026-07-01,-,livestreamer,when_a_stream_is_livestream_selling,platform stream with an ordering function,rule,"Livestream selling exists as a legal category only where the stream runs on an e-commerce platform AND the platform carries the ordering function. A stream that promotes a product and sends viewers elsewhere to buy falls outside this law and is governed by advertising law instead - which changes which duties apply, not whether any do.",Does not address a stream on a social platform whose checkout sits in a separate app.,https://congbao.chinhphu.vn/van-ban/luat-so-122-2025-qh15-45988.htm,2026-07-31
livestreamer-duties,Luật 122/2025/QH15,Điều 24,2026-07-01,-,livestreamer,duties_of_a_livestreamer,seven duties including a duty to refuse,rule,"Seven duties, of which the third is the unusual one: the livestreamer must refuse the engagement where the seller has not supplied the Điều 23 information. A duty to walk away is enforceable in a way a duty to be careful is not. The fifth keeps the stream inside the confirmed advertising content.",Does not carry its own fine schedule - the e-commerce sanctions sit elsewhere.,https://congbao.chinhphu.vn/van-ban/luat-so-122-2025-qh15-45988.htm,2026-07-31
livestream-regimes-stack,Luật 122/2025/QH15,throughout,2026-07-01,-,livestreamer,how_many_regimes_apply,three,finding,"Law 122/2025 contains zero occurrences of người có ảnh hưởng. The three regimes were drafted independently and therefore stack: a sponsored influencer running a shoppable livestream carries the e-commerce duties in Điều 24, the advertising duties in Điều 15a.3 and Điều 23, and the consumer-protection duty in Điều 22.3 at the same time.",Does not tell you which authority enforces first where the duties conflict.,https://congbao.chinhphu.vn/van-ban/luat-so-122-2025-qh15-45988.htm,2026-07-31
platform-identity-verification,Nghị định 248/2026/NĐ-CP,Điều 52.2,2027-01-01,-,platform,when_identity_checks_bite,2027-01-01,date,"Platform verification of the identity of sellers and livestreamers only starts on 1 January 2027. As at 31 July 2026 it is not yet enforceable, so a plan built on the assumption that accounts are already identity-verified is ahead of the law.",Does not describe the verification method.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-248-2026-nd-cp-46402.htm,2026-07-31
food-mandatory-phrases,Nghị định 342/2025/NĐ-CP,Điều 5.2 and 5.3,2026-02-15,-,any conveyor,food_wording_that_is_mandatory,category phrase plus the not-a-medicine warning,rule,"Food advertising must carry its category phrase - Thực phẩm bảo vệ sức khỏe or Thực phẩm bổ sung or Thực phẩm dinh dưỡng y học - and the warning that this food is not a medicine and does not replace medicine for treating disease. This is the one place in the whole regime where exact Vietnamese wording is prescribed, and it is prescribed for the product category rather than for the sponsorship.","Note the operative categories: thực phẩm chức năng does not appear in the sanctions decree at all, so advice organised around that label misses the requirements. Broadcast under 15 seconds may display the warning rather than read it.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
food-patient-testimonial,Nghị định 87/2026/NĐ-CP,Điều 71.4,2026-05-15,-,any conveyor,penalty_for_a_treatment_testimonial,20000000 to 30000000,VND,"Quoting a patient describing a food as treating their disease. This is the standard supplement affiliate video, and the fine attaches to the person conveying it.",Does not require the speaker to be a real patient for the provision to bite.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
cosmetics-no-medical-imagery,Nghị định 342/2025/NĐ-CP,Điều 4.2 and 4.4,2026-02-15,-,any conveyor,cosmetics_content_limits,no medical framing and no medical staff imagery,rule,"Cosmetic advertising must not imply the product is a medicine and must not use the imagery names uniforms letters or articles of medical facilities doctors pharmacists or other health staff. The white-coat dermatologist shot common in Vietnamese skincare content is inside this prohibition. Penalty 15 to 20 million under ND 87/2026 Điều 70.3.c, rising to 30 to 40 million under Điều 70.4.b where the content implies a medicine.",Does not prohibit a qualified professional appearing in a non-clinical capacity without the trappings - a line worth legal advice before relying on.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
warning-legibility-is-prescribed,Luật 75/2025/QH15,Điều 19.2,2026-01-01,-,any conveyor,where_form_IS_prescribed,contrasting colour and equal type size and equal speed,rule,"The one place the law does prescribe form: a mandatory warning must be in a contrasting colour, no smaller than the advertisement's own type size, and read at the same speed and volume as the rest. Fast-talking the disclaimer is expressly an offence.",Applies to mandatory warnings and not to sponsorship disclosure - do not transplant these specifications onto a sponsored-content label.,https://congbao.chinhphu.vn/van-ban/luat-so-75-2025-qh15-45566.htm,2026-07-31
platform-tax-withholding,Nghị định 117/2025/NĐ-CP,Điều 5.2,2025-07-01,-,everyone,how_platform_income_is_taxed,1 percent VAT plus 0.5 percent PIT on goods,rule,"Platforms withhold at source: goods 1 percent VAT and 0.5 percent PIT for a resident individual, services 5 percent and 2 percent, and at the highest applicable rate where the income cannot be classified. There is no livestream-specific tax rule - the decree contains zero occurrences of livestream.",Does not replace the annual return - withholding is an advance and overpayment is refundable.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-117-2025-nd-cp-45215.htm,2026-07-31
takedown-24h-duty,Nghị định 342/2025/NĐ-CP,Điều 18.2,2026-02-15,-,everyone,when_the_takedown_clock_starts,24 from a written or electronic request,hour,"Advertiser, ad-service business, conveyor and publisher each owe blocking or removal of unlawful advertising within 24 hours, and the duty is to do it or to cooperate in it being done. The request counts if it arrives bằng văn bản hoặc qua phương tiện điện tử, so an email starts the clock.","Not working hours. The text says 24 giờ with no exclusion, so unlike the Điều 42 notice clock in the consumer law it does not pause for a weekend or a public holiday.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
takedown-block-until-fixed,Nghị định 342/2025/NĐ-CP,Điều 18.3,2026-02-15,-,everyone,what_happens_when_the_clock_runs_out,technical blocking by two ministries,rule,"Where the 24 hours pass unmet, Bộ Văn hóa Thể thao và Du lịch and Bộ Công an apply technical measures to block the advertising or the service, and the block is lifted only after the violating advertising has been dealt with as required.",Does not put a limit on how long a block lasts and does not replace the fine - Điều 56.4 of Nghị định 87/2026 prices the same miss separately.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
takedown-request-arrives-decided,Nghị định 342/2025/NĐ-CP,Điều 18.1,2026-02-15,-,everyone,who_sends_the_removal_request,Bộ Văn hóa Thể thao và Du lịch as the single point,rule,"Where sector law is silent or the poster cannot be identified, the ministry is the lead body that receives reports from other ministries and localities and sends the blocking or removal request. A referring body supplies the competent authority's conclusion with its report.","Does not create a hearing or an appeal step before the request issues, so the request is not the opening of a negotiation.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
takedown-national-security-is-sooner,Nghị định 342/2025/NĐ-CP,Điều 18.2,2026-02-15,-,everyone,is_24_hours_an_allowance,kịp thời with 24 hours as the ceiling,rule,For advertising whose content infringes Vietnamese national security the wording changes to kịp thời - promptly - and no later than 24 hours. So on that content the 24 hours are a ceiling rather than a budget to spend.,"Does not define kịp thời in hours and does not say who decides that content falls in this class, which means the recipient of the request cannot grade it themselves.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-342-2025-nd-cp-45934.htm,2026-07-31
fine-ad-beside-unlawful-content,Nghị định 87/2026/NĐ-CP,Điều 56.3.a,2026-05-15,-,everyone,penalty_for_adjacency_to_unlawful_content,40000000 to 50000000,VND,"Placing an advertising product inside, beside, immediately after or immediately before unlawful content. The limb binds người quảng cáo, người kinh doanh dịch vụ quảng cáo, người phát hành quảng cáo and người chuyển tải sản phẩm quảng cáo together, so buying the placement is enough to be reached by it.","Does not define unlawful content and does not offer a diligence defence, so an exclusion list is mitigation of exposure rather than an answer to the charge.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-advertising-on-an-unlawful-platform,Nghị định 87/2026/NĐ-CP,Điều 56.3.b,2026-05-15,-,everyone,penalty_for_running_on_an_unlawful_surface,40000000 to 50000000,VND,"Advertising on websites, social networks, online applications or digital platforms that violate the law. Same four roles and same band as adjacency, but this limb also carries disgorgement under Điều 56.5.b.","Does not name the unlawful surfaces, and the decree does not point at a register - the publicly announced list in Điều 56.3.c is the nearest thing the text gives you.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-partnering-with-a-named-violator,Nghị định 87/2026/NĐ-CP,Điều 56.3.c,2026-05-15,-,everyone,penalty_for_working_with_a_publicly_named_violator,40000000 to 50000000,VND,"Advertising cooperation with an organisation, individual, website, social network, application, platform, account, content channel, community page or group that a competent authority has publicly announced as violating the law. The announcement is the trigger, so the counterparty's status is checkable before you sign.","Does not say where the announcement is published or how far back it reaches, and carries no grace period for a contract signed before the naming.",https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-ignoring-a-ministry-takedown,Nghị định 87/2026/NĐ-CP,Điều 56.3.d,2026-05-15,-,everyone,penalty_for_not_removing_on_request,40000000 to 50000000,VND,"Not carrying out blocking or removal of unlawful information at the request of Bộ Văn hóa Thể thao và Du lịch and other competent authorities. This is the limb Điều 56.4 carves itself out of, and its object is thông tin vi phạm rather than the narrower quảng cáo vi phạm.",States no deadline of its own. The 24 hours come from Nghị định 342/2025 Điều 18.2 and are priced by Điều 56.4.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
fine-no-information-on-request,Nghị định 87/2026/NĐ-CP,Điều 56.3.đ,2026-05-15,-,everyone,penalty_for_not_naming_the_parties,40000000 to 50000000,VND,"Not providing information about the organisations and individuals involved in online advertising that shows signs of violation, when a competent authority asks. Being unable to say who ran a placement is itself the offence, which turns record keeping into a defence.",Does not list what has to be retained or for how long - the retention duty sits at Điều 56.1.c and binds the ad-service business rather than the brand.,https://congbao.chinhphu.vn/van-ban/nghi-dinh-so-87-2026-nd-cp-46188.htm,2026-07-31
